 VARIABLES = X,Y,U,V,sy,w,p
 ZONE     i=         101          j=         101                       F=POINT
   8.99999961E-02   9.99999978E-03  -1.52326218E-04   4.36290647E-05  -4.19805474E-07   2.30175965E-02  -6.60602527E-04
   9.99999940E-02   9.99999978E-03  -2.48682394E-04   5.27854318E-05  -9.03532055E-07   3.25483344E-02  -7.99019530E-04
  0.109999999       9.99999978E-03  -3.61317798E-04   6.12526710E-05  -1.47551407E-06   4.35643643E-02  -9.36397468E-04
  0.119999997       9.99999978E-03  -4.89026017E-04   6.89930603E-05  -2.12858549E-06   5.59711270E-02  -1.07003551E-03
  0.129999995       9.99999978E-03  -6.30529888E-04   7.59969480E-05  -2.85537521E-06   6.96628541E-02  -1.19768386E-03
  0.140000001       9.99999978E-03  -7.84527627E-04   8.22728616E-05  -3.64852440E-06   8.45278278E-02  -1.31748233E-03
  0.149999991       9.99999978E-03  -9.49724577E-04   8.78416176E-05  -4.50083235E-06  0.100452021      -1.42790680E-03
  0.159999996       9.99999978E-03  -1.12485478E-03   9.27312649E-05  -5.40535666E-06  0.117321715      -1.52771990E-03
  0.170000002       9.99999978E-03  -1.30869483E-03   9.69742614E-05  -6.35545757E-06  0.135025188      -1.61592709E-03
  0.179999992       9.99999978E-03  -1.50007184E-03   1.00605146E-04  -7.34484183E-06  0.153453946      -1.69173721E-03
  0.189999998       9.99999978E-03  -1.69786764E-03   1.03658342E-04  -8.36756044E-06  0.172503307      -1.75452931E-03
  0.199999988       9.99999978E-03  -1.90102099E-03   1.06167594E-04  -9.41800863E-06  0.192072883      -1.80382491E-03
  0.209999993       9.99999978E-03  -2.10852502E-03   1.08164801E-04  -1.04909122E-05  0.212066621      -1.83925929E-03
  0.219999999       9.99999978E-03  -2.31942674E-03   1.09679699E-04  -1.15813045E-05  0.232392803      -1.86056562E-03
  0.229999989       9.99999978E-03  -2.53282045E-03   1.10739165E-04  -1.26845061E-05  0.252963811      -1.86754938E-03
  0.239999995       9.99999978E-03  -2.74784537E-03   1.11366171E-04  -1.37960878E-05  0.273695767      -1.86007877E-03
  0.250000000       9.99999978E-03  -2.96368008E-03   1.11581772E-04  -1.49118296E-05  0.294508278      -1.83807197E-03
  0.259999990       9.99999978E-03  -3.17953783E-03   1.11403642E-04  -1.60277232E-05  0.315323949      -1.80148892E-03
  0.269999981       9.99999978E-03  -3.39465914E-03   1.10845307E-04  -1.71399024E-05  0.336068034      -1.75031659E-03
  0.280000001       9.99999978E-03  -3.60831013E-03   1.09917710E-04  -1.82446292E-05  0.356667995      -1.68457406E-03
  0.289999992       9.99999978E-03  -3.81977297E-03   1.08629865E-04  -1.93382566E-05  0.377052993      -1.60429708E-03
  0.299999982       9.99999978E-03  -4.02834686E-03   1.06988591E-04  -2.04172266E-05  0.397153765      -1.50955340E-03
  0.310000002       9.99999978E-03  -4.23333934E-03   1.04996710E-04  -2.14780284E-05  0.416902065      -1.40042219E-03
  0.319999993       9.99999978E-03  -4.43406496E-03   1.02656304E-04  -2.25171607E-05  0.436230451      -1.27700996E-03
  0.329999983       9.99999978E-03  -4.62984387E-03   9.99691110E-05  -2.35311545E-05  0.455072135      -1.13944896E-03
